#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-04-28T15:02:45 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ644bdffe11d3b8	
#INFO	-out.max=99999	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=99999
#-nav=cat:VIII/99&tab:{VIII/99/radio}&key:source=VIII/99/radio&HTTPPRM:&
#-source=VIII/99/radio
#-order=I
#-out=Seq
#-out=Freq
#-out=l_Smax
#-out=Smax
#-out=l_Smin
#-out=Smin
#-out=r_Smax
#-out=Notes
#

#RESOURCE=yCat_8099
#Name: VIII/99
#Title: Catalogue of Radio Stars (Wendker, 2001)
#Table	VIII_99_radio:
#Name: VIII/99/radio
#Title: Radio data
#Column	Seq	(I4)	[1/3699] Star number, as in file "stars"	[ucd=meta.record]
#Column	Freq	(I6)	Frequency of radio measurement	[ucd=em.freq]
#Column	l_Smax	(A1)	Limit flag on Smax	[ucd=meta.code.error]
#Column	Smax	(F10.3)	Maximum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	l_Smin	(A1)	Limit flag on Smin	[ucd=meta.code.error]
#Column	Smin	(F10.3)	Minimum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	r_Smax	(I4)	? Reference of Fluxes (details in "refs.dat") [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	Notes	(a56)	Remarks and notes about the radio flux	[ucd=meta.note]
Seq	Freq	l_Smax	Smax	l_Smin	Smin	r_Smax	Notes
 632	  4760	 	     1.580	 	     0.000	 869	  02/90; astrometry;
 632	  4860	 	     2.200	 	     0.610	 730	  17 obs. 01-12/85;
 632	  4860	 	     1.760	 	     1.300	 781	  3 obs. 10/86-06/87;
 632	  4885	 	    18.600	 	     0.000	 365	  03/81;
 632	  4885	 	    14.400	 	     0.000	 455	  02/82;
 632	  4885	 	    18.600	 	     0.400	 489	  4 obs. 03/81-11/83;
 632	  4885	 	     0.780	 	     0.000	 558	  05/83;
 632	  4885	 	     0.850	 	     0.000	 569	  11/83;
 632	  4885	<	     0.400	 	     0.000	 843	  03/90;
 632	 14940	 	     0.950	 	     0.000	 569	  11/83;
 632	 14940	 	     1.870	<	     0.540	 730	  17 obs. 01-12/85;
 632	 14965	 	    64.000	 	     0.000	 455	  02/82; size about 0.1 arcsec;
 632	 14965	 	    64.000	<	     0.900	 489	  3 obs. 02/82-11/83;
 632	 14965	<	     1.000	 	     0.000	 495	  10/83; same data in (512);
 632	 22485	 	    45.000	 	     0.000	 455	  02/82;
 632	230000	<	    30.000	 	     0.000	 744	  04/88;
 632	250000	<	    17.000	 	     0.000	 950	  12/86-01/87;
 632	270000	<	    30.000	 	     0.000	 697	  08/88;
 632	375000	<	    72.000	 	     0.000	 697	  08/88;
 632	375000	<	   147.000	 	     0.000	1019	  11/90-04/91;
 633	  4885	<	     0.500	 	     0.000	 455	  02/82;
 633	 15000	<	     9.000	 	     0.000	 368	  10/79;
 633	 31000	<	   180.000	 	     0.000	 293	  10/76;
 633	111700	 	     4.500	 	     0.000	1169	  07/93-11/94;
 633	230000	<	    50.000	 	     0.000	 744	  04/88;
 633	230000	 	    17.000	 	     0.000	1058	  12/93;
 633	250000	 	    27.000	 	     0.000	 950	  12/87-01/88;
 633	375000	<	    60.000	 	     0.000	1019	  11/90-04/91;
 634	  4885	<	     0.500	 	     0.000	 455	  02/82;
 634	 31000	<	   180.000	 	     0.000	 293	  10/76;
 634	111700	<	     4.000	 	     0.000	1169	  07/93-11/94;
 634	230000	<	    30.000	 	     0.000	 744	  04/88;
 634	375000	<	    60.000	 	     0.000	1019	  11/90-04/91;
 635	  4885	<	     0.500	 	     0.000	 542	  84-85;
 636	  4885	<	     0.500	 	     0.000	 542	  84-85;
 637	  1483	<	     0.900	 	     0.000	 925	  09/86;
 637	  4860	<	     0.700	 	     0.000	 781	  2 obs. 10/86-06/87;
 637	230000	<	    14.000	 	     0.000	1058	  12/93;
 637	230500	<	     2.500	 	     0.000	1393	  09-11/97;
 638	230000	<	    15.000	 	     0.000	1058	  12/93;
 639	  1490	<	     0.590	 	     0.000	 952	  09/90;
 639	  4860	 	     0.310	 	     0.000	 952	  09/90;
 639	  8440	 	     0.610	 	     0.380	 952	  3 obs. 02-09/90; part of data in (892)
 639	  8440	 	     0.480	 	     0.000	1226	  01/96;
 639	 14940	 	     0.880	 	     0.000	 952	  06/91;
 639	 22000	 	     1.100	 	     0.000	1226	  01/96;
 639	 43000	 	     5.800	 	     0.000	1226	  01/96;
 639	108900	 	    42.000	 	     0.000	1226	  10/94-05/95;
 639	110000	 	    50.000	 	     0.000	1200	  ?;
 639	225000	 	   490.000	 	     0.000	 905	  12/90;
 639	230000	 	   289.000	 	     0.000	 744	  04/88;
 639	230000	 	   234.000	 	     0.000	1035	  04-12/93;
 639	236000	 	   260.000	 	     0.000	1297	  02/95-03/97;
 639	260000	 	   387.000	 	     0.000	 841	  11-12/89;
 639	275000	 	   354.000	 	     0.000	1035	  04-12/93;
 639	275000	 	   300.000	 	     0.000	1274	  ?/92;
 639	350000	 	   638.000	 	     0.000	1035	  04-12/93;
 639	375000	 	   777.000	 	     0.000	1035	  04-12/93;
 639	380000	 	   950.000	 	     0.000	 841	  11/89-12/90;
 640	  4860	 	     0.590	 	     0.000	 952	  09/90;
 640	  8440	 	     1.930	<	     0.080	 952	  3 obs. 02-09/90;
 641	   151	<	   150.000	 	     0.000	1397	  11/93; 7C(G);
 641	  1400	<	     2.000	 	     0.000	1305	  01/94; NVSS;
 641	  1400	 	   120.000	 	    20.000	1317	  04/98;
 641	  2250	 	   420.000	 	    40.000	1316	  23 obs. 04/98; suspected jet development; same (1394);
 641	  2700	<	    15.000	 	     0.000	 351	  04/74-06/78;
 641	  4850	<	    25.000	 	     0.000	 809	  10/87;
 641	  4885	 	   470.000	 	   150.000	1317	  2 obs. 04/98;
 641	  8100	<	    15.000	 	     0.000	 351	  04/74-06/78;
 641	  8300	 	   750.000	 	    50.000	1316	  23 obs. 04/98; suspected jet development; same (1394);
 641	  8440	 	   650.000	 	   280.000	1317	  2 obs. 04/98;
 641	 10600	<	    25.000	 	     0.000	 203	  05/73;
 641	 10690	<	     5.000	 	     0.000	 155	  07/73;
 641	 14900	 	   500.000	 	     0.000	1317	  04/98;
 641	 15000	 	   480.000	 	    40.000	1394	  04/98; monitored 23 days;
 641	 22500	 	   420.000	 	     0.000	1317	  04/98;
 642	  1490	 	     1.330	 	     0.000	 943	  09/90;
 642	  1700	 	     3.200	 	     2.800	 843	  2 obs. 03/90; VLBI; complex;
 642	  4860	 	     2.150	 	     1.120	 781	  3 obs. 10/86-06/87;
 642	  4860	 	     1.310	 	     0.000	 943	  09/90;
 642	  4885	 	     4.500	 	     0.000	 843	  2 obs. 03/90; VLBI; complex;
 642	  8440	 	     1.720	 	     1.360	 943	  3 obs. 02-09/90;
 642	  8440	 	     0.573	 	     0.000	1121	  06/94;
 642	230000	<	    25.000	 	     0.000	 744	  04/88;
 643	  4860	<	     0.300	 	     0.000	 781	  3 obs. 10/86-06/87;
 643	  4860	 	     0.200	 	     0.000	 952	  09/90;
 643	230000	<	    12.000	 	     0.000	1058	  12/93;
 644	  4860	<	     0.630	 	     0.000	 781	  12/86;
 645	  4885	<	     0.500	 	     0.000	 542	  84-85;
 646	  4885	<	     0.500	 	     0.000	 542	  84-85;
 647	  4760	<	     0.120	 	     0.000	 869	  02/90;
 647	  4860	<	     0.600	 	     0.000	 781	  2 obs. 10/86-06/87;
 647	  8440	<	     0.140	 	     0.000	1121	  06/94;
 647	230000	<	    14.000	 	     0.000	1058	  12/93;
 648	  4885	<	     0.500	 	     0.000	 542	  84-85;
 649	230000	<	    40.000	 	     0.000	 744	  04/88;
 650	  8400	<	     5.000	 	     0.000	 822	  04/88;
 651	  4885	<	     0.500	 	     0.000	 542	  84-85;
 652	  4885	<	     0.200	 	     0.000	 365	  03/81;
 652	  8000	<	    15.000	 	     0.000	 290	  10/77;
 652	 10500	<	     8.000	 	     0.000	 290	  02/78;
 652	 15000	<	     9.000	 	     0.000	 368	  10/79;
 652	230000	 	    37.000	 	     0.000	 744	  04/88;
 652	250000	 	    81.000	 	     0.000	 950	  2 obs. 12/87-03/89;
 652	375000	 	   126.000	 	     0.000	1019	  11/90-04/91;
 653	  4860	<	     0.660	 	     0.000	 781	  12/86;
 653	  4885	<	     0.500	 	     0.000	 542	  84-85;
 654	  4860	<	     0.600	 	     0.000	 781	  3 obs. 10/86-06/87;
 654	  4885	<	     0.240	 	     0.000	 558	  05/83;
 654	  8440	<	     0.130	 	     0.000	1121	  06/94;
 654	230000	 	    34.000	 	     0.000	 744	  04/88;
 654	230000	<	     9.000	 	     0.000	1058	  12/93;
 654	230500	<	     2.500	 	     0.000	1393	  09-11/97;
 654	250000	<	    10.000	 	     0.000	 950	  03/89;
 654	260000	<	    70.000	 	     0.000	 841	  11-12/89;
 654	272000	<	    21.000	 	     0.000	 849	  10/90;
 654	380000	<	    83.000	 	     0.000	 849	  10/90;
 655	  8440	<	     0.180	 	     0.000	1256	  01/96;
 656	  4860	<	     0.600	 	     0.000	 781	  2 obs. 10/86-06/87;
 657	230000	<	    50.000	 	     0.000	 744	  04/88;
 657	230000	<	    15.000	 	     0.000	1058	  12/93;
 658	  4885	<	     0.500	 	     0.000	 542	  84-85;
 658	  4885	<	     0.140	 	     0.000	 672	  06/86;
 659	  4885	<	     0.500	 	     0.000	 542	  84-85;
 660	  4760	<	     0.140	 	     0.000	 869	  02/90;
 660	  4860	<	     0.600	 	     0.000	 781	  2 obs. 10/86-06/87;
 660	  8440	<	     0.100	 	     0.000	1121	  06/94;
 660	272000	<	    24.000	 	     0.000	 849	  10/90;
 661	  1483	<	     0.900	 	     0.000	 925	  09/86;
 662	  4885	<	     0.153	 	     0.000	 951	  07/90;
 662	  8400	<	     0.126	 	     0.000	 951	  07/90;
 662	  8440	 	     0.100	 	     0.000	1104	  01/93;
 662	 10690	<	     3.000	 	     0.000	 155	  06/73;
 663	  1483	<	     0.900	 	     0.000	 925	  09/86;
 664	  8440	<	     0.200	 	     0.000	1256	  01/96;
 665	  1483	<	     0.900	 	     0.000	 925	  09/86;
 666	  4885	<	     0.500	 	     0.000	 542	  84-85;
 667	  1483	<	     0.900	 	     0.000	 925	  09/86;
 668	  8440	<	     0.180	 	     0.000	1256	  01/96;
 669	  4885	<	     0.500	 	     0.000	 542	  84-85;
 670	230000	<	    14.000	 	     0.000	1058	  12/93;
 671	  4860	<	     0.700	 	     0.000	 781	  2 obs. 10/86-06/87;
 672	  4885	<	     1.000	 	     0.000	 470	  2 obs. 05-12/83;
 672	  8400	<	     4.900	 	     0.000	 617	  10 obs. 81-84;
 673	  1490	 	     8.000	 	     4.000	 890	  2 obs. 08/92;
 673	  4885	 	     8.000	 	     4.000	 890	  2 obs. 08/92;
 674	  4885	<	     0.500	 	     0.000	 542	  84-85;
 675	  4885	<	     0.500	 	     0.000	 542	  84-85;
 676	  4885	<	     0.500	 	     0.000	 542	  84-85;
 677	  4885	<	     0.500	 	     0.000	 542	  84-85;
 678	  4885	<	     0.500	 	     0.000	 542	  84-85;
 679	  1483	<	     0.900	 	     0.000	 925	  09/86;
 680	  4885	<	     0.500	 	     0.000	 542	  84-85;
 681	  4885	<	     0.580	 	     0.000	 455	  02/82;
 681	230000	 	    36.000	 	     0.000	 744	  04/88;
 681	230000	 	    36.000	 	     0.000	1058	  12/93;
 681	375000	<	    81.000	 	     0.000	1019	  11/90-04/91;
 682	  4885	<	     0.320	 	     0.000	 365	  03/81;
 682	  4885	<	     0.270	 	     0.000	 611	  12/84;
 682	  4995	<	     3.000	 	     0.000	 367	  /78;
 682	  8000	<	    45.000	 	     0.000	 290	  10/77;
 682	  8440	 	     0.330	 	     0.000	 977	  09/91-03/92;
 682	 10500	<	     8.000	 	     0.000	 290	  02/78;
 682	 15000	<	     5.000	 	     0.000	 368	  10/79;
 682	 31000	<	   110.000	 	     0.000	 293	  01/77;
 682	230000	 	   229.000	 	     0.000	 744	  04/88;
 682	250000	 	   212.000	 	     0.000	 950	  12/87-01/88;
 682	260000	 	   354.000	 	     0.000	 841	  11-12/89;
 682	375000	 	   543.000	 	     0.000	1019	  11/90-04/91;
 682	380000	 	   580.000	 	     0.000	 841	  11/89-12/90;
 683	  1465	 	     0.250	 	     0.000	1025	  ??/91;
 683	  1700	 	     2.600	 	     1.400	 843	  2 obs. 03/90; VLBI; unresolved;
 683	  4760	 	     0.380	 	     0.000	 869	  02/90; astrometry;
 683	  4860	 	     3.290	 	     0.000	 781	  12/86;
 683	  4885	 	     0.330	 	     0.000	 760	  09/84-03/85;
 683	  4885	 	     3.000	 	     0.000	 843	  03/90; VLBI; unresolved;
 683	  4885	 	     0.390	 	     0.000	1025	  ??/91;
 683	  8440	 	     0.100	 	     0.000	1025	  ??/91;
 683	230000	<	    15.000	 	     0.000	1058	  12/93;
 684	  4885	 	     0.150	 	     0.000	 490	  04-05/84; extended; jet-like?;
 684	  4885	 	     0.210	 	     0.120	 553	  3 obs. 05-09/85;
 684	 14965	 	     0.680	 	     0.000	 553	  05/85;
 685	111700	 	    22.000	 	     0.000	1169	  07/93-11/94;
 685	230000	 	   141.000	 	     0.000	 940	  08/90-09/91;
 685	230000	 	   134.000	 	     0.000	1058	  12/93;
 686	  4860	<	     0.650	 	     0.000	 781	  2 obs. 10/86-06/87;
 686	230000	<	    12.000	 	     0.000	1058	  12/93;
 687	  4885	 	     0.190	 	     0.000	 490	  04-05/84;
 687	  4885	 	     0.210	 	     0.180	 553	  3 obs. 05-09/85;
 687	 14965	<	     0.130	 	     0.000	 553	  05/85;
 687	 98000	<	    11.000	 	     0.000	 818	  12/89-05/90;
 687	111700	 	     3.600	 	     0.000	1169	  07/93-11/94;
 687	230000	<	    35.000	 	     0.000	 744	  04/88;
 687	375000	<	   150.000	 	     0.000	 768	  01/89;
 688	  1400	 	     2.800	 	     0.000	 529	  10/83; total flux;
 688	  1465	 	     5.000	 	     0.000	 439	  10/81;
 688	  1465	 	     3.000	 	     0.000	 441	  06/82; unresolved;
 688	  1490	 	     2.130	 	     0.000	 569	  11/83; both components;
 688	  1665	 	     7.000	 	     0.000	 919	  4 obs. 09/91; in 2 hours with VLBI resolved;
 688	  2290	<	    54.000	<	    84.000	 549	  07/82-01/83; same data in (618);
 688	  2695	 	     4.000	 	     0.000	  97	  09/73;
 688	  4860	 	     4.940	 	     5.530	1002	  3 obs. 07-10/87; comp.S:
 688	  4885	 	     5.800	 	     0.000	 365	  03/81;
 688	  4885	 	     4.300	 	     0.400	 411	  2 obs. 05/82; resolved double;T Tau is the weaker one;
 688	  4885	 	     5.000	 	     0.000	 439	  10/81;
 688	  4885	 	     4.300	 	     0.450	 441	  06/82; resolved double; T Tau is the weaker one;
 688	  4885	 	     5.200	 	     0.450	 455	  02/82; partially resolved double;
 688	  4885	 	     5.000	 	     0.700	 529	  10/83; S and N comp.;
 688	  4885	 	     6.400	 	     0.000	 611	  12/84; S and N comp.;
 688	  5000	 	     2.100	 	     0.900	1195	  11/92; S and N comp.;
 688	  5000	 	     0.800	 	     0.000	1195	  11/92; comp. R, the star;
 688	  8085	 	     8.000	 	     0.000	  97	  09/73;
 688	  8420	<	    17.000	<	    51.000	 549	  07/82-01/83; same data in (618);
 688	  8440	 	     6.810	 	     3.910	1002	  5 obs. 11/88-04/90; comp.S;
 688	  8440	 	     1.270	 	     0.930	1002	  5 obs. 11/88-04/90; comp.N;
 688	 10500	 	     7.300	 	     0.000	 290	  02/78;
 688	 10600	<	    25.000	 	     0.000	 203	  10/72-02/73;
 688	 10690	 	     8.000	 	     0.000	 155	  06/73;
 688	 14940	 	     6.500	 	     0.000	 569	  11/83; both components;
 688	 14949	 	     4.100	 	     0.154	1002	  02/89; comp. S and N;
 688	 14965	<	     8.000	 	     0.000	 439	  10/81;
 688	 14965	 	     9.000	<	     1.000	 441	  06/82; southern component only;T Tau not detected;
 688	 14965	 	     7.500	 	     1.200	 455	  02/82; partially resolved double;
 688	 14965	 	     5.000	 	     1.400	 495	  10/83; S and N comp.;
 688	 14965	 	     8.100	 	     2.200	 529	  10/83; S and N comp.; connecting bridge with 0.8 mJy;
 688	 15000	 	     8.600	 	     0.000	 368	  10/79;
 688	 22200	 	    35.000	<	     4.000	 441	  06/82; southern component only;T Tau not detected;
 688	 31400	<	   110.000	 	     0.000	 293	  01/77;
 688	 86000	 	    32.700	 	     0.000	 547	  11/85;
 688	 88000	 	    45.600	 	     0.000	1249	  92-97;
 688	 90000	 	    68.000	 	     0.000	 183	  12/75;
 688	 90000	<	   107.000	 	     0.000	 950	  01/87;
 688	 98000	 	    56.000	 	     0.000	 818	  12/89-03/90;
 688	108000	 	    50.000	<	     9.000	1306	  12/96-03/97; comp.N and S;
 688	110000	 	    48.000	 	     0.000	1191	  11/93-03/94; both comp.;
 688	112000	 	    39.100	 	     0.000	1249	  92-97;
 688	112500	<	    60.000	 	     0.000	 610	  05-07/84;
 688	112600	 	    75.000	 	     0.000	 722	  11/86-02/87;
 688	226000	 	   894.000	 	     0.000	 547	  11/85;
 688	230000	 	   280.000	 	     0.000	 744	  04/88;
 688	230000	 	   320.000	 	     0.000	 768	  01/89;
 688	230000	 	   253.000	 	     0.000	 940	  08/90-09/91;
 688	250000	 	   296.000	 	     0.000	 950	  3 obs. 12/86-03/89;
 688	260000	 	  4600.000	 	     0.000	 660	  10/82-03/83; value contaminted by extended emission?;
 688	260000	 	   417.000	 	     0.000	 841	  11-12/89;
 688	267000	 	   397.000	<	   100.000	1251	  12/94; comp.N and S;
 688	270000	 	   579.000	 	     0.000	 697	  08/88; same data in (1042);
 688	357000	 	  1350.000	 	     0.000	1251	  10/94;
 688	375000	 	  1216.000	 	     0.000	 697	  08/88; slightly resolved; same data in (1042);
 688	375000	 	  1070.000	 	     0.000	 768	  01/89;
 688	375000	 	   860.000	 	     0.000	1019	  11/90-04/91;
 688	375000	 	   640.000	 	     0.000	1345	  6 obs. 09/97-03/98;
 688	380000	 	   910.000	 	     0.000	 841	  11/89-12/90;
 689	  1483	<	     0.900	 	     0.000	 925	  09/86;
 690	  1483	<	     0.900	 	     0.000	 925	  09/86;
 691	  8440	 	     0.190	 	     0.000	1256	  01/96;
 692	  1483	<	     0.900	 	     0.000	 925	  09/86;
 693	  4885	<	     0.210	 	     0.000	1264	  04/93;
 694	  4860	<	     0.750	 	     0.000	 781	  12/86;
 694	  5000	<	     6.000	 	     0.000	 822	  86-89;
 695	  1483	<	     0.900	 	     0.000	 925	  09/86;
 696	  1483	<	     0.900	 	     0.000	 925	  09/86;
 697	  1483	<	     0.900	 	     0.000	 925	  09/86;
 698	  8400	<	     4.500	 	     0.000	1115	  9 obs. 02/89-05/90;
 699	  1483	<	     0.900	 	     0.000	 925	  09/86;
 700	  1483	<	     0.900	 	     0.000	 925	  09/86;
 701	  1483	<	     0.900	 	     0.000	 925	  09/86;
 702	  4760	<	     0.140	 	     0.000	 869	  02/90;
 702	270000	<	    33.000	 	     0.000	1019	  11/90-04/91;
 702	375000	<	    96.000	 	     0.000	1019	  11/90-04/91;
 703	  1483	<	     0.900	 	     0.000	 925	  09/86;
 704	  4885	<	     0.500	 	     0.000	 542	  84-85;
 705	  1483	<	     0.900	 	     0.000	 925	  09/86;
 706	  1483	<	     0.900	 	     0.000	 925	  09/86;
 707	  1483	<	     0.900	 	     0.000	 925	  09/86;
 708	  4885	<	     0.500	 	     0.000	 542	  84-85;
 709	  1483	<	     0.900	 	     0.000	 925	  09/86;
 710	  4885	<	     0.500	 	     0.000	 542	  84-85;
 711	  1483	<	     0.900	 	     0.000	 925	  09/86;
 712	  4885	<	     0.500	 	     0.000	 542	  84-85;
 713	  1483	<	     0.900	 	     0.000	 925	  09/86;
 714	  1483	<	     0.900	 	     0.000	 925	  09/86;
 715	  1483	<	     0.900	 	     0.000	 925	  09/86;
 716	  1483	<	     0.900	 	     0.000	 925	  09/86;
 717	  1483	<	     0.900	 	     0.000	 925	  09/86;
 717	  4885	<	     0.500	 	     0.000	 542	  84-85;
 718	  1483	<	     0.900	 	     0.000	 925	  09/86;
 719	  1483	<	     0.900	 	     0.000	 925	  09/86;
 720	  8440	<	     0.220	 	     0.000	1256	  01/96;
 721	  1483	<	     0.900	 	     0.000	 925	  09/86;
 722	  1483	<	     0.900	 	     0.000	 925	  09/86;
 722	  4860	<	     0.600	<	     1.100	 781	  2 obs. 12/86-06/87;
 723	  1483	<	     0.900	 	     0.000	 925	  09/86;
 723	  4885	<	     2.000	 	     0.000	 337	  08/78;
 723	250000	<	     6.000	 	     0.000	 950	  03/89;
 724	  1483	<	     0.900	 	     0.000	 925	  09/86;
 725	  1483	<	     0.900	 	     0.000	 925	  09/86;
 725	  4885	<	     0.500	 	     0.000	 542	  84-85;
 726	  4885	<	     0.500	 	     0.000	 542	  84-85;
 727	  1483	<	     0.900	 	     0.000	 925	  09/86;
 728	  5000	<	     3.300	 	     0.000	 669	  08-09/86;
 728	  8440	<	     0.290	 	     0.000	1040	  08-10/93;
 729	  8440	<	     0.120	 	     0.000	1351	  02-03/97;
 730	  1483	<	     0.900	 	     0.000	 925	  09/86;
 730	  4885	<	     0.500	 	     0.000	 542	  84-85;
 731	  1483	<	     0.900	 	     0.000	 925	  09/86;
 732	  1483	<	     0.900	 	     0.000	 925	  09/86;
 733	  4885	<	     0.500	 	     0.000	 542	  84-85;
 734	  1483	<	     0.900	 	     0.000	 925	  09/86;
 735	  4885	<	     0.500	 	     0.000	 542	  84-85;
 736	  4885	<	     0.500	 	     0.000	 542	  84-85;
 737	  1483	<	     0.900	 	     0.000	 925	  09/86;
 738	  1483	<	     0.900	 	     0.000	 925	  09/86;
 739	  1483	<	     0.900	 	     0.000	 925	  09/86;
 740	230000	<	    35.000	 	     0.000	 744	  04/88;
 741	  4885	<	     0.500	 	     0.000	 542	  84-85;
 742	  1483	<	     0.900	 	     0.000	 925	  09/86;
 742	  4885	<	     0.500	 	     0.000	 542	  84-85;
 743	230000	<	    35.000	 	     0.000	 744	  04/88;
 744	  1483	<	     0.900	 	     0.000	 925	  09/86;
 745	  1483	<	     0.900	 	     0.000	 925	  09/86;
 746	111700	 	    25.000	 	     0.000	1169	  07/93-11/94;
 746	230000	 	   130.000	 	     0.000	 744	  04/88;
 746	260000	 	   137.000	 	     0.000	 841	  11-12/89;
 746	380000	 	   250.000	 	     0.000	 841	  11/89-12/90;
 747	  1483	<	     0.900	 	     0.000	 925	  09/86;
 748	  1483	<	     0.900	 	     0.000	 925	  09/86;
 748	  4885	<	     0.500	 	     0.000	 542	  84-85;
 749	  1483	<	     0.900	 	     0.000	 925	  09/86;
 750	  8440	<	     0.120	 	     0.000	1351	  02-03/97;
 751	  1483	<	     0.900	 	     0.000	 925	  09/86;
 751	  8440	<	     0.210	 	     0.000	1256	  01/96;
 752	  1483	<	     0.900	 	     0.000	 925	  09/86;
 752	  4885	<	     0.500	 	     0.000	 542	  84-85;
 753	  1483	<	     0.900	 	     0.000	 925	  09/86;
 754	  1483	<	     0.900	 	     0.000	 925	  09/86;
 755	  1483	<	     0.900	 	     0.000	 925	  09/86;
 755	  4885	<	     0.500	 	     0.000	 542	  84-85;
 755	  4885	<	     0.140	 	     0.000	 672	  06/86;
 756	  4885	<	     0.500	 	     0.000	 542	  84-85;
 757	  1483	<	     0.900	 	     0.000	 925	  09/86;
 758	  1483	<	     0.900	 	     0.000	 925	  09/86;
 759	  4885	<	     0.500	 	     0.000	 542	  84-85;
 760	  1483	<	     0.900	 	     0.000	 925	  09/86;
 761	  1483	<	     0.900	 	     0.000	 925	  09/86;
 761	  4885	<	     0.500	 	     0.000	 542	  84-85;
 762	  4885	<	     0.500	 	     0.000	 542	  84-85;
 763	  1483	<	     0.900	 	     0.000	 925	  09/86;
 764	  1483	<	     0.900	 	     0.000	 925	  09/86;
 765	  4885	<	     0.500	 	     0.000	 542	  84-85;
 766	  1483	<	     0.900	 	     0.000	 925	  09/86;
 767	  1483	<	     0.900	 	     0.000	 925	  09/86;
 768	  1483	<	     0.900	 	     0.000	 925	  09/86;
 769	  4885	<	     0.500	 	     0.000	 542	  84-85;
 770	  1483	<	     0.900	 	     0.000	 925	  09/86;
 771	  4885	<	     0.500	 	     0.000	 542	  84-85;
 772	  1483	<	     0.900	 	     0.000	 925	  09/86;
 773	  1483	<	     0.900	 	     0.000	 925	  09/86;
 774	  1483	<	     0.900	 	     0.000	 925	  09/86;
 774	  4885	<	     0.500	 	     0.000	 542	  84-85;
 775	  4885	<	     0.500	 	     0.000	 542	  84-85;
 776	  1483	<	     0.900	 	     0.000	 925	  09/86;
 777	  1483	<	     0.900	 	     0.000	 925	  09/86;
 778	  1483	<	     0.900	 	     0.000	 925	  09/86;
 778	  4885	<	     0.500	 	     0.000	 542	  84-85;
 779	  2700	<	    25.000	 	     0.000	 351	  04/74-06/78;
 779	  8100	<	    15.000	 	     0.000	 351	  04/74-06/78;
 779	 10600	<	    18.000	 	     0.000	 351	  72-79;
 780	  1483	<	     0.900	 	     0.000	 925	  09/86;
 781	  1483	<	     0.900	 	     0.000	 925	  09/86;
 782	  1483	<	     0.900	 	     0.000	 925	  09/86;
 783	  1483	<	     0.900	 	     0.000	 925	  09/86;
 783	  4885	<	     0.500	 	     0.000	 542	  84-85;
 784	  1483	<	     0.900	 	     0.000	 925	  09/86;
 784	  4885	<	     0.500	 	     0.000	 542	  84-85;
 785	230000	<	    11.000	 	     0.000	1058	  12/93;
 786	  4885	<	     0.500	 	     0.000	 542	  84-85;
 787	  8440	 	     2.160	 	     1.970	1256	  2 obs. 01/96;
 788	  8440	 	     0.350	 	    33.000	1256	  2 obs. 01/96;
 789	  1483	<	     0.900	 	     0.000	 925	  09/86;
 790	  1483	<	     0.900	 	     0.000	 925	  09/86;
 791	  1483	<	     0.900	 	     0.000	 925	  09/86;
 792	  4860	<	     0.600	 	     0.000	 781	  2 obs. 10/86-06/87;
 792	 89200	 	     1.700	 	     0.000	1393	  09-11/97;
 792	230000	 	    16.000	 	     0.000	1058	  12/93;
 792	230500	 	     9.000	 	     0.000	1393	  09-11/97;
 793	  1483	<	     0.900	 	     0.000	 925	  09/86;
 794	  4860	<	     0.180	 	     0.000	 651	  08/86;
 795	  1483	<	     0.900	 	     0.000	 925	  09/86;
 796	  1483	<	     0.900	 	     0.000	 925	  09/86;
 796	  4885	<	     0.500	 	     0.000	 542	  84-85;
 796	  4885	<	     0.150	 	     0.000	 672	  06/86;
 797	  4885	<	     0.500	 	     0.000	 542	  84-85;
 798	  4885	<	     0.500	 	     0.000	 542	  84-85;
 799	  1483	<	     0.900	 	     0.000	 925	  09/86;
 800	  1483	<	     0.900	 	     0.000	 925	  09/86;
 800	  4885	<	     0.500	 	     0.000	 542	  84-85;
 801	230000	<	    14.000	 	     0.000	1058	  12/93;
 802	  4860	<	     0.660	 	     0.000	 781	  12/86;
 803	  4885	<	     0.500	 	     0.000	 542	  84-85;
 804	  1483	<	     0.900	 	     0.000	 925	  09/86;
 804	  4885	<	     0.150	 	     0.000	 672	  06/86;
 805	  4860	<	     0.600	 	     0.000	 781	  2 obs. 10/86-06/87;
 806	  4885	<	     0.500	 	     0.000	 542	  84-85;
 807	  4885	<	     0.500	 	     0.000	 542	  84-85;
 808	  4885	<	     0.500	 	     0.000	 542	  84-85;
 809	  1483	<	     0.900	 	     0.000	 925	  09/86;
 810	  1483	<	     0.900	 	     0.000	 925	  09/86;
 811	  1483	<	     0.900	 	     0.000	 925	  09/86;
 812	  1483	<	     0.900	 	     0.000	 925	  09/86;
 813	  8440	<	     0.120	 	     0.000	1351	  02-03/97;
